Time,Sensor 0(F),Sensor 1(F),Sensor 2(F),Sensor 3(F),Ambient
1642090267,60.98,60.80,,60.47,45.5
1642090270,60.98,60.98,,60.47,45.5
1642090275,60.98,60.98,,60.47,45.5
1642090279,60.98,60.80,,60.47,45.5
1642090283,60.98,60.80,,60.47,45.5
1642090286,60.80,60.80,,60.47,45.5
1642090291,60.98,60.80,,60.31,45.5
1642090296,60.80,60.80,,60.31,45.5
1642090301,60.80,60.98,,60.47,45.5
1642090306,60.80,60.80,,60.31,45.5
1642090309,60.80,60.80,,60.47,45.5
1642090313,60.64,60.98,,60.31,45.5
1643299334,60.15,60.15,,59.82,59.0
1643299341,60.15,60.15,,59.98,59.0
1643299346,60.47,60.15,,59.98,58.1
1643299351,60.31,60.15,,59.98,58.1
1643299355,60.31,60.31,,59.98,58.1
1643299359,60.31,60.15,,59.98,58.1
1643299362,60.47,60.31,,59.98,58.1
1643299366,60.47,60.31,,59.98,58.1
1643299369,60.47,60.31,,59.98,58.1
1643299373,60.31,60.15,,59.82,58.1
1643299377,60.31,60.31,,59.98,57.2
1643299381,60.47,60.31,,59.98,57.2
1643299384,60.31,60.15,,59.98,57.2
1643299388,60.31,60.15,,60.15,57.2
1643299392,60.47,60.31,,59.98,57.2
1643299397,60.47,60.15,,59.98,57.2
1643299400,60.31,60.31,,60.15,56.3
1643299404,60.31,60.15,,59.98,56.3
1643299408,60.31,60.31,,59.98,56.3
1643299412,60.31,60.15,,59.98,56.3
1643299416,60.31,60.31,,59.98,56.3
1643299421,60.47,60.31,,60.15,55.4
1643299425,60.31,60.31,,59.98,55.4
1643299429,60.31,60.31,,59.98,55.4
1643299432,60.31,60.31,,60.15,55.4
1643299436,60.31,60.31,,60.15,55.4
1643299440,60.31,60.31,,60.15,54.5
1643299444,60.31,60.31,,60.15,54.5
1643299448,60.31,60.31,,60.15,54.5
1643299452,60.31,60.31,,59.98,54.5
1643299455,60.47,60.31,,59.98,53.6
1643299459,60.47,60.47,,60.15,53.6
1643299463,60.31,60.31,,60.15,53.6
1643299466,60.31,60.31,,60.15,52.7
1643299470,60.47,60.31,,60.15,52.7
1643299473,60.31,60.31,,60.15,52.7
1643299477,60.47,60.47,,60.15,51.8
1643299480,60.47,60.31,,60.15,51.8
1643299484,60.31,60.31,,60.15,51.8
1643299488,60.47,60.31,,59.98,50.9
1643299491,60.47,60.31,,60.15,50.9
1643299495,60.31,60.31,,60.15,50.9
1643299499,60.31,60.31,,60.15,50.9
1643299502,60.31,60.31,,60.15,50.0
1643299506,60.31,60.31,,60.15,50.0
1643299509,60.31,60.47,,60.15,50.0
1643299513,60.47,60.31,,60.15,50.0
1643299516,60.47,60.31,,60.15,50.0
1643299520,60.47,60.31,,60.15,49.1
1643299523,60.15,60.31,,60.15,49.1
1643299527,60.31,60.31,,60.15,49.1
1643299531,60.31,60.31,,60.15,49.1
1643299534,60.31,60.31,,60.15,49.1
1643299538,60.31,60.31,,60.15,49.1
1643299541,60.31,60.31,,59.98,48.2
1643299545,60.31,60.31,,59.98,48.2
1643299548,60.31,60.31,,59.98,48.2
1643299552,60.15,60.31,,60.15,48.2
1643299555,60.15,60.31,,60.15,48.2
1643299559,60.31,60.31,,60.15,48.2
1643299562,60.31,60.31,,60.15,48.2
1643299566,60.31,60.31,,60.15,48.2
1643299569,60.15,60.31,,60.15,48.2
1643299573,60.15,60.31,,59.98,48.2
1643299578,60.15,60.31,,60.15,48.2
1643299582,60.31,60.31,,59.98,48.2
1643299585,60.15,60.31,,60.15,48.2
1643299589,60.15,60.31,,59.98,48.2
1643299593,60.31,60.31,,60.15,48.2
1643299596,60.15,60.31,,60.15,48.2
1643299600,60.31,60.15,,60.15,48.2
1643299603,60.15,60.31,,60.15,48.2
1643299607,60.15,60.31,,59.98,48.2
1643299610,60.15,60.15,,60.15,48.2
1643299614,60.15,60.15,,60.15,48.2
1643299618,60.31,60.31,,59.98,48.2
1643299621,60.15,60.31,,59.98,48.2
1643299625,60.15,60.15,,60.15,48.2
1643299629,60.31,60.15,,60.15,48.2
1643299632,60.31,60.31,,59.98,48.2
1643299636,60.15,60.31,,59.98,48.2
1643299639,60.31,60.15,,60.15,48.2
1643299643,60.31,60.15,,59.98,48.2
1643299646,60.15,60.31,,60.15,48.2
1643299650,60.15,60.15,,59.98,48.2
1643299654,60.31,60.31,,59.98,48.2
1643299657,60.15,60.31,,59.98,48.2
1643299661,60.31,60.31,,59.98,48.2
1643299665,59.98,60.31,,59.98,48.2
1643299669,60.15,60.31,,59.98,48.2
1643299672,60.15,60.31,,59.98,48.2
1643299676,60.15,60.31,,60.15,48.2
1643299679,60.15,60.15,,59.98,48.2
1643299683,60.15,60.15,,59.98,48.2
1643299687,60.15,60.15,,59.98,48.2
1643299690,60.15,60.15,,60.15,48.2
1643299694,60.15,60.31,,59.98,48.2
1643299698,60.15,60.31,,59.98,48.2
1643299701,60.15,60.31,,60.15,48.2
1643299705,60.15,60.31,,59.98,48.2
1643299708,60.15,60.31,,59.98,49.1
1643299712,59.98,60.31,,59.98,49.1
1643299716,60.15,60.31,,60.15,49.1
1643299719,60.15,60.31,,60.15,49.1
1643299723,60.15,60.31,,59.98,49.1
1643299726,59.98,60.31,,59.98,48.2
1643299730,59.98,60.31,,60.15,49.1
1643299733,59.98,60.31,,60.15,49.1
1643299737,59.98,60.31,,59.98,48.2
1643299741,60.15,60.31,,60.15,48.2
1643299744,59.98,60.15,,59.98,48.2
1643299748,59.98,60.31,,59.98,48.2
1643299752,59.98,60.31,,59.98,48.2
1643299756,59.98,60.31,,59.98,48.2
1643299759,59.98,60.31,,59.98,48.2
1643299763,59.98,60.31,,59.98,48.2
1643299767,59.98,60.31,,59.98,48.2
1643299771,60.15,60.15,,59.98,48.2
1643299775,60.15,60.31,,59.98,48.2
1643299779,59.98,60.15,,59.98,48.2
1643299782,59.98,60.31,,59.98,48.2
1643299786,59.98,60.15,,60.15,48.2
1643299789,59.98,60.15,,59.98,48.2
1643299793,60.15,60.31,,59.98,47.3
1643299797,60.15,60.31,,59.98,47.3
1643299800,59.98,60.15,,59.98,47.3
1643299804,60.15,60.31,,59.98,47.3
1643299808,59.82,60.31,,59.98,47.3
1643299812,59.98,60.31,,59.98,47.3
1643299815,59.98,60.31,,59.98,47.3
1643299819,60.15,60.15,,59.82,47.3
1643299822,59.98,60.15,,59.98,47.3
1643299826,59.98,60.15,,59.98,47.3
1643299829,60.15,60.31,,59.82,46.4
1643299833,59.98,60.31,,59.82,46.4
1643299837,60.15,60.15,,59.82,46.4
1643299840,59.98,60.31,,59.82,46.4
1643299844,59.98,60.31,,59.82,46.4
1643299848,59.82,60.31,,59.98,46.4
1643299851,59.98,60.15,,59.82,45.5
1643299855,59.98,60.15,,59.82,45.5
1643299859,60.15,60.15,,59.82,45.5
1643299862,59.98,60.15,,59.98,45.5
1643299866,60.15,60.15,,59.82,45.5
1643299869,60.15,60.15,,59.98,45.5
1643299873,60.15,60.15,,59.98,45.5
1643299877,59.98,60.31,,59.82,45.5
1643299880,59.98,60.31,,59.82,45.5
1643299884,59.98,60.31,,59.82,45.5
1643299887,60.15,60.15,,59.98,44.6
1643299891,59.98,60.31,,59.82,44.6
1643299894,59.98,60.15,,59.82,44.6
1643299898,59.82,60.15,,59.82,44.6
1643299902,59.98,60.15,,59.82,44.6
1643299906,59.98,60.15,,59.82,44.6
1643299909,59.98,60.31,,59.82,44.6
1643299915,60.15,60.15,,59.82,44.6
